Fecha;Asunto;Envíos;Aperturas;Tasa de aperturas
20-nov-2023;Exclusivo para Contadores: Únete a World Office Club y Avanza.;144301;34207;23.71%
23-nov-2023;Contadores como tú están usando estas herramientas de Excel.;2385;535;22.43%
27-nov-2023;Exclusivo para Contadores: Únete a World Office Club y Avanza.;143968;30664;21.30%
27-nov-2023;Herramientas de Excel infaltables para iniciar el 2024.?;2201;635;28.85%
04-dic-2023;3 oportunidades de ahorro para tu actualización profesional.;13231;2892;21.86%
13-dic-2023;Lo NUEVO de nuestras Suscripciones es justo lo que necesitas para el próximo año.;727;121;16.64%
14-dic-2023;¡Los mejores descuentos están en los productos de cierre contable!;299111;42972;14.37%
14-dic-2023;Aprovecha tu Prima para Impulsar tu Éxito Profesional en el 2024.;299153;40501;13.54%
14-dic-2023;Aprovecha tu Prima para Impulsar tu Éxito Profesional en el 2024. ??;112598;8032;7.13%
14-dic-2023;En Actualícese la Prima sí te rinde.;299090;46118;15.42%
14-dic-2023;En Actualícese la Prima sí te rinde. ??;56279;9284;16.50%
14-dic-2023;?? ¡Los mejores descuentos están en los productos de cierre contable!;56319;8665;15.39%
15-dic-2023;¿Quincena y prima y no vas a invertir en tu actualización profesional?;298876;46536;15.57%
15-dic-2023;¿Quincena y prima y no vas a invertir en tu actualización profesional? ??;56534;9522;16.84%
15-dic-2023;Desde solo 32mil Herramientas en Excel. Solo en nuestra Promo Prima.;298919;44590;14.92%
15-dic-2023;Desde solo 32mil Herramientas en Excel. ?? Solo en nuestra Promo Prima.;10073;2166;21.50%
15-dic-2023;Desde solo 32mil Herramientas en Excel. ?? Solo en nuestra Promo Prima.;42332;5982;14.13%
15-dic-2023;Quincena, prima y 50% de DCTO.: ¡El combo perfecto para invertir en tu actualización hoy!;298961;39931;13.36%
15-dic-2023;?? Tienes hasta 50% de DCTO. en productos para la exógena AG 2023.;14490;3242;22.37%
15-dic-2023;?? Quincena, prima y 50% de DCTO.: ¡El combo perfecto para invertir en tu actualización hoy!;41511;4819;11.61%
15-dic-2023;?? Quincena, prima y 50% de DCTO.: ¡El combo perfecto para invertir en tu actualización hoy!;1990;379;19.05%
15-dic-2023;?? Quincena, prima y 50% de DCTO.: ¡El combo perfecto para invertir en tu actualización hoy!;904;173;19.14%
15-dic-2023;?? Quincena, prima y 50% de DCTO.: ¡El combo perfecto para volver a invertir en tu actualización!;757;121;15.98%
15-dic-2023;?? Quincena, prima y 60% de DCTO.: ¡El combo perfecto para invertir en tu actualización hoy!;1339;253;18.89%
16-dic-2023;Aprovecha al máximo tu Prima con estas ofertas especiales.;298770;37914;12.69%
16-dic-2023;Oferta Expo Cierre: ? 40% de DCTO. para que reactives tu Suscripción.;3066;562;18.33%
16-dic-2023;Oferta Expo Cierre: ? 40% de DCTO. para que renueves tu Suscripción.;1746;366;20.96%
16-dic-2023;Oferta Expo Cierre: ? 40% de DCTO. para que renueves tu Suscripción.;765;151;19.74%
16-dic-2023;Oferta Expo Cierre: ? 75% de DCTO. para que realices tu upgrade.;2324;560;24.10%
